x,y
681.27,343.28
679.22,333.73
684.68,337.82
681.27,326.90
689.46,329.63
686.05,347.37
723.58,343.96
718.12,354.88
709.93,359.66
707.89,367.85
703.11,375.36
720.17,366.49
722.22,376.72
722.22,384.91
684.00,358.29
701.74,356.93
731.09,371.94
728.36,376.72
733.82,378.08
738.60,371.26
744.06,377.40
751.56,374.67
752.93,383.54
762.49,375.36
769.99,373.99
776.13,366.49
782.96,366.49
783.64,373.31
783.64,382.86
776.13,386.27
767.26,389.00
762.49,383.54
695.60,402.65
699.70,393.78
704.48,400.61
708.57,401.29
715.39,396.51
719.49,399.24
722.90,405.38
729.73,405.38
726.31,412.89
591.87,401.29
610.29,404.70
619.17,399.24
625.31,408.11
636.23,404.02
647.83,406.75
656.02,399.24
671.72,399.24
684.00,395.83
679.22,386.96
676.49,380.81
675.13,372.63
671.72,364.44
672.40,357.61
677.18,351.47
715.39,484.55
722.22,480.46
731.77,481.82
734.50,485.92
739.28,489.33
741.33,497.51
740.64,504.34
733.14,510.49
724.26,508.44
718.12,504.34
711.98,500.93
711.30,497.51
711.30,492.06
672.40,503.66
638.96,499.56
597.33,526.18
607.56,525.50
617.12,537.10
624.63,539.15
629.40,550.07
626.67,565.08
584.36,525.50
585.73,518.67
593.23,511.17
600.74,504.34
608.25,506.39
611.66,519.36
495.64,519.36
498.37,533.00
495.64,545.97
401.46,527.54
406.92,539.83
479.26,590.33
516.79,514.58
535.91,505.71
537.95,498.20
533.18,492.06
533.18,487.96
544.09,481.14
552.97,485.92
557.06,492.74
564.57,487.96
571.39,479.77
573.44,471.58
572.76,465.44
571.39,460.66
577.53,454.52
583.68,450.43
578.22,466.80
578.22,472.95
587.09,468.85
582.31,461.35
593.92,477.73
594.60,489.33
601.42,490.01
603.47,482.50
609.61,476.36
618.48,477.04
626.67,477.73
635.54,480.46
645.10,486.60
645.78,475.68
643.74,470.90
474.49,492.74
474.49,501.61
482.67,503.66
488.81,497.51
497.00,498.20
503.15,492.06
507.24,487.28
480.63,487.28
486.08,485.23
492.91,483.19
484.04,480.46
487.45,492.06
479.26,515.26
475.17,523.45
475.85,536.42
448.55,426.54
454.69,440.19
465.61,453.16
471.75,456.57
471.75,464.76
480.63,464.76
490.18,469.53
495.64,472.26
440.36,445.65
447.87,451.11
447.87,461.35
441.73,468.17
440.36,474.31
448.55,472.26
594.60,277.76
583.00,285.27
598.69,284.59
599.37,292.09
591.87,299.60
603.47,273.67
604.83,281.86
605.52,293.46
601.42,301.65
